Date,Service,Region,UsageHours,Cost
2023-02-09,Amazon CloudFront,us-east-1,9.62,20.8
2023-02-21,Amazon CloudFront,us-east-1,11.9,20.18
2023-01-16,Amazon RDS,ap-south-1,11.21,19.59
2023-01-13,Amazon EC2,us-west-2,23.88,3.56
2023-01-30,Amazon RDS,us-west-2,13.54,31.95
2023-01-19,Amazon EC2,eu-west-1,3.03,36.68
2023-01-17,Amazon S3,eu-west-1,14.96,33.84
2023-03-04,Amazon EC2,ap-south-1,4.49,7.01
2023-01-19,Amazon RDS,ap-south-1,1.71,28.98
2023-02-27,Amazon CloudFront,ap-south-1,23.33,28.52
2023-02-24,Amazon EC2,us-east-1,18.79,43.43
2023-03-31,Amazon EC2,ap-south-1,23.54,19.02
2023-03-31,AWS Lambda,ap-south-1,11.99,18.64
2023-03-03,Amazon CloudFront,eu-west-1,13.24,30.96
2023-01-23,Amazon S3,ap-south-1,4.87,31.69
2023-01-09,Amazon RDS,us-east-1,6.68,23.52
2023-01-12,Amazon S3,us-east-1,20.29,22.21
2023-01-01,Amazon CloudFront,eu-west-1,9.19,24.76
2023-02-27,Amazon EC2,ap-south-1,20.02,43.07
2023-01-01,Amazon EC2,ap-south-1,17.31,23.11
2023-02-03,Amazon CloudFront,us-east-1,5.07,47.0
2023-02-17,Amazon EC2,ap-south-1,12.67,25.25
2023-03-30,Amazon EC2,ap-south-1,16.58,47.47
2023-01-01,Amazon EC2,ap-south-1,6.41,41.66
2023-01-16,Amazon RDS,us-west-2,20.11,18.19
2023-03-02,Amazon RDS,eu-west-1,13.53,43.2
2023-03-05,AWS Lambda,us-west-2,4.8,5.59
2023-03-04,Amazon S3,eu-west-1,14.41,46.26
2023-03-10,Amazon CloudFront,us-east-1,23.99,31.62
2023-01-22,Amazon CloudFront,ap-south-1,4.46,2.81
2023-03-08,Amazon CloudFront,eu-west-1,19.79,32.25
2023-03-17,AWS Lambda,us-west-2,5.77,48.71
2023-01-26,Amazon RDS,ap-south-1,18.99,3.58
2023-01-16,AWS Lambda,us-east-1,17.9,27.78
2023-02-20,Amazon CloudFront,eu-west-1,7.91,37.41
2023-03-27,Amazon S3,eu-west-1,8.49,40.53
2023-02-26,Amazon EC2,eu-west-1,19.23,20.75
2023-01-29,Amazon RDS,ap-south-1,11.61,10.29
2023-03-19,Amazon RDS,us-west-2,17.81,2.21
2023-03-10,AWS Lambda,us-west-2,4.4,29.03
2023-02-16,Amazon RDS,eu-west-1,20.61,22.7
2023-03-03,Amazon CloudFront,us-east-1,17.35,47.44
2023-03-10,Amazon CloudFront,us-east-1,21.86,3.12
2023-03-17,AWS Lambda,us-west-2,4.04,34.3
2023-01-16,Amazon CloudFront,us-east-1,14.64,1.35
2023-03-31,Amazon S3,us-west-2,14.78,8.65
2023-03-31,AWS Lambda,eu-west-1,9.13,22.73
2023-02-17,Amazon S3,us-west-2,11.54,22.8
2023-03-26,Amazon EC2,us-west-2,1.87,34.32
2023-02-08,Amazon S3,eu-west-1,18.15,45.52
2023-02-02,Amazon EC2,us-east-1,13.63,31.99
2023-01-23,Amazon EC2,us-west-2,2.33,47.68
2023-01-10,Amazon S3,us-west-2,16.66,44.09
2023-03-10,AWS Lambda,eu-west-1,11.74,29.27
2023-02-03,Amazon CloudFront,us-east-1,1.79,41.71
